time,recorded_data,Analog,Voltage [V],Temperature [C],Year,Month,Weekday,Hour,Minute,Second
2025-02-03 17:50:36.614365,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,36
2025-02-03 17:50:37.615118,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,37
2025-02-03 17:50:38.615810,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,38
2025-02-03 17:50:39.616498,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,39
2025-02-03 17:50:40.617244,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,40
2025-02-03 17:50:41.617971,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,41
2025-02-03 17:50:42.618667,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,42
2025-02-03 17:50:43.619129,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,43
2025-02-03 17:50:44.619809,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,44
2025-02-03 17:50:45.620209,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,45
2025-02-03 17:50:46.620889,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,46
2025-02-03 17:50:47.621608,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,47
2025-02-03 17:50:48.622357,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,48
2025-02-03 17:50:49.622739,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,49
2025-02-03 17:50:50.623474,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,50
2025-02-03 17:50:51.624227,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,51
2025-02-03 17:50:52.624957,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,52
2025-02-03 17:50:53.625334,"['148.00', '0.72', '22.27']",148.0,0.72,22.27,2025,February,Monday,17,50,53
2025-02-03 17:50:54.626071,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,54
2025-02-03 17:50:55.626779,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,55
2025-02-03 17:50:56.627181,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,56
2025-02-03 17:50:57.627913,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,57
2025-02-03 17:50:58.628644,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,58
2025-02-03 17:50:59.629432,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,59
2025-02-03 17:51:00.630228,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,0
2025-02-03 17:51:01.630616,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,1
2025-02-03 17:51:02.631359,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,2
2025-02-03 17:51:03.632107,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,3
2025-02-03 17:51:04.632510,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,4
2025-02-03 17:51:05.633297,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,5
2025-02-03 17:51:06.634067,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,6
2025-02-03 17:51:07.634785,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,7
2025-02-03 17:51:08.635185,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,8
2025-02-03 17:51:09.635872,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,51,9
2025-02-03 17:51:10.636570,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,10
2025-02-03 17:51:11.637321,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,11
2025-02-03 17:51:12.637974,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,51,12
2025-02-03 17:51:13.638730,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,13
2025-02-03 17:51:14.639468,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,51,14
2025-02-03 17:51:15.640219,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,51,15
2025-02-03 17:51:16.640597,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,51,16
2025-02-03 17:51:17.641338,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,51,17
